epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1100.2,0.85633,0.35816,0.96395,0.99666,0.99814,0.99429,0.73198,0.84409,0.31582,0.94876,0.000703961,0.000703961,0.000703961
43,1376.62,0.85105,0.35629,0.96198,0.99686,0.99704,0.99416,0.73117,0.84468,0.31471,0.94939,0.000686277,0.000686277,0.000686277
44,1650.96,0.84891,0.35391,0.96137,0.99724,0.99812,0.99438,0.73039,0.85369,0.31641,0.95384,0.000668593,0.000668593,0.000668593
45,1926.02,0.86664,0.35227,0.96701,0.99718,0.99815,0.99413,0.73673,0.84933,0.31424,0.95143,0.000650909,0.000650909,0.000650909
46,2200.68,0.84699,0.35002,0.96019,0.99722,0.99769,0.99415,0.73601,0.84134,0.30879,0.94995,0.000633226,0.000633226,0.000633226
47,2475.37,0.85344,0.34857,0.96288,0.9955,0.99793,0.99411,0.73456,0.84754,0.31425,0.94858,0.000615542,0.000615542,0.000615542
48,2749.7,0.84476,0.34972,0.95963,0.99576,0.99861,0.9941,0.73542,0.84532,0.3102,0.95035,0.000597858,0.000597858,0.000597858
49,3024.04,0.84403,0.34116,0.96459,0.99735,0.99778,0.99415,0.73598,0.84073,0.30826,0.94789,0.000580174,0.000580174,0.000580174
50,3298.34,0.84585,0.34154,0.95672,0.99645,0.99745,0.99411,0.74099,0.83673,0.30407,0.94627,0.00056249,0.00056249,0.00056249
51,3573.34,0.83803,0.33993,0.95629,0.996,0.99793,0.9943,0.7397,0.83761,0.30131,0.94731,0.000544806,0.000544806,0.000544806
52,3847.65,0.8375,0.3386,0.95296,0.99726,0.99761,0.99419,0.73812,0.85007,0.30491,0.95008,0.000527122,0.000527122,0.000527122
53,4121.79,0.83093,0.33578,0.9569,0.99718,0.99769,0.99418,0.74364,0.8341,0.30329,0.9462,0.000509438,0.000509438,0.000509438
54,4396.28,0.82733,0.33345,0.95256,0.9974,0.99792,0.99412,0.73699,0.83862,0.30176,0.94591,0.000491755,0.000491755,0.000491755
55,4670.14,0.83134,0.33451,0.95647,0.99587,0.99769,0.99418,0.74347,0.83322,0.30133,0.94471,0.000474071,0.000474071,0.000474071
56,4944.09,0.83052,0.33619,0.95579,0.99726,0.99826,0.99404,0.74202,0.83978,0.30031,0.94488,0.000456387,0.000456387,0.000456387
57,5217.87,0.82719,0.33364,0.95309,0.99706,0.99787,0.99412,0.73496,0.8367,0.30013,0.94521,0.000438703,0.000438703,0.000438703
58,5491.65,0.82001,0.3298,0.95411,0.99557,0.99759,0.99414,0.73883,0.83776,0.30784,0.9462,0.000421019,0.000421019,0.000421019
59,5765.87,0.82911,0.3301,0.95074,0.9972,0.99789,0.99419,0.74419,0.83419,0.29537,0.94471,0.000403335,0.000403335,0.000403335
60,6039.99,0.82511,0.32729,0.95481,0.99658,0.99789,0.99426,0.74245,0.83602,0.29575,0.94553,0.000385651,0.000385651,0.000385651
61,6313.83,0.82312,0.32379,0.95236,0.99702,0.99815,0.99422,0.74777,0.83047,0.29153,0.94171,0.000367967,0.000367967,0.000367967
62,6588.33,0.82345,0.32613,0.94906,0.99663,0.99797,0.99415,0.73597,0.83836,0.29377,0.94549,0.000350284,0.000350284,0.000350284
63,6862.18,0.81783,0.32337,0.95236,0.99726,0.99801,0.99413,0.74001,0.84152,0.29578,0.94477,0.0003326,0.0003326,0.0003326
64,7135.8,0.81033,0.32092,0.94426,0.99708,0.99769,0.99425,0.7433,0.82866,0.29094,0.94296,0.000314916,0.000314916,0.000314916
65,7409.86,0.81416,0.32057,0.94763,0.99733,0.99855,0.99417,0.74417,0.82891,0.28988,0.94171,0.000297232,0.000297232,0.000297232
66,7683.48,0.81643,0.3191,0.94795,0.99731,0.99796,0.99436,0.74706,0.82995,0.28875,0.94193,0.000279548,0.000279548,0.000279548
67,7957.12,0.80908,0.31734,0.94614,0.99708,0.99852,0.99425,0.74648,0.82791,0.28825,0.94075,0.000261864,0.000261864,0.000261864
68,8230.72,0.80299,0.31415,0.94271,0.99678,0.99815,0.99435,0.74471,0.83166,0.28581,0.94202,0.00024418,0.00024418,0.00024418
69,8504.38,0.80774,0.31392,0.94352,0.99734,0.99815,0.99432,0.74328,0.82745,0.28616,0.94017,0.000226497,0.000226497,0.000226497
70,8778.33,0.8024,0.31585,0.94402,0.99723,0.99815,0.9942,0.74581,0.82542,0.28801,0.93851,0.000208813,0.000208813,0.000208813
71,9063.35,0.82863,0.30004,0.95036,0.99733,0.99769,0.99419,0.74673,0.82537,0.28866,0.94009,0.000191129,0.000191129,0.000191129
72,9336.37,0.82896,0.29765,0.94847,0.99731,0.99782,0.99421,0.74361,0.83327,0.28933,0.94245,0.000173445,0.000173445,0.000173445
73,9609.29,0.82414,0.29466,0.95069,0.99702,0.99815,0.99418,0.74902,0.82673,0.28623,0.94042,0.000155761,0.000155761,0.000155761
74,9882.81,0.81992,0.29167,0.94302,0.99763,0.99809,0.99429,0.74948,0.82671,0.28397,0.94056,0.000138077,0.000138077,0.000138077
75,10157.3,0.82041,0.2924,0.94964,0.99739,0.99769,0.99424,0.74762,0.8279,0.28578,0.94225,0.000120393,0.000120393,0.000120393
76,10430.7,0.82241,0.29342,0.94664,0.9973,0.99835,0.99423,0.74859,0.82629,0.28365,0.94035,0.000102709,0.000102709,0.000102709
77,10703.9,0.81776,0.28887,0.94924,0.99728,0.99815,0.99433,0.74774,0.81935,0.28076,0.93817,8.50255e-05,8.50255e-05,8.50255e-05
78,10977.1,0.81622,0.28701,0.94866,0.99728,0.99815,0.99431,0.74864,0.82272,0.28005,0.93881,6.73416e-05,6.73416e-05,6.73416e-05
79,11250.5,0.81087,0.28271,0.94754,0.99727,0.99815,0.99432,0.75043,0.81574,0.27702,0.9369,4.96578e-05,4.96578e-05,4.96578e-05
80,11524.3,0.8116,0.28278,0.94547,0.99713,0.99815,0.99433,0.75036,0.81771,0.27721,0.93784,3.19739e-05,3.19739e-05,3.19739e-05
