epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4937.18,0.86227,0.36512,1.01531,0.99519,0.99686,0.99467,0.73164,0.87021,0.33699,1.00785,0.000945641,0.000945641,0.000945641
43,5053.54,0.86886,0.36404,1.02241,0.99709,0.99436,0.99485,0.7265,0.87993,0.34571,1.01934,0.000933851,0.000933851,0.000933851
44,144.502,0.86058,0.364,1.01569,0.99335,0.99355,0.99489,0.73019,0.88108,0.33898,1.00285,0.000922062,0.000922062,0.000922062
45,126.709,0.82083,0.34999,0.99634,0.99316,0.99579,0.99492,0.72778,0.87469,0.33513,1.01127,0.000910273,0.000910273,0.000910273
46,247.336,0.86428,0.36435,1.02115,0.9963,0.99659,0.99492,0.7334,0.87971,0.33949,1.01455,0.000898484,0.000898484,0.000898484
47,368.543,0.85778,0.36091,1.01146,0.99668,0.99637,0.99491,0.73183,0.87405,0.34022,1.0184,0.000886694,0.000886694,0.000886694
48,491.358,0.85753,0.35719,1.01895,0.99762,0.99758,0.99496,0.72466,0.88479,0.34132,1.02027,0.000874905,0.000874905,0.000874905
49,613.058,0.86152,0.3593,1.01586,0.99728,0.99788,0.99497,0.72756,0.87463,0.33577,0.99715,0.000863116,0.000863116,0.000863116
50,734.944,0.8576,0.35767,1.01027,0.99642,0.99652,0.99485,0.73291,0.87625,0.33431,1.0127,0.000851327,0.000851327,0.000851327
51,856.848,0.85552,0.35758,1.01157,0.99451,0.9987,0.99474,0.73243,0.87485,0.33918,1.00492,0.000839537,0.000839537,0.000839537
52,978.845,0.85342,0.35608,1.01568,0.99695,0.99651,0.99491,0.73092,0.8636,0.32837,1.00847,0.000827748,0.000827748,0.000827748
53,1100.82,0.85512,0.35423,1.01323,0.99587,0.99684,0.99486,0.72785,0.86607,0.32921,1.00091,0.000815959,0.000815959,0.000815959
54,1222.77,0.85121,0.3549,1.00705,0.99504,0.99798,0.9949,0.7333,0.87136,0.32816,1.00444,0.00080417,0.00080417,0.00080417
55,1344.63,0.85626,0.35134,1.01183,0.99652,0.99805,0.99496,0.72666,0.86637,0.32388,1.01106,0.00079238,0.00079238,0.00079238
56,1466.52,0.85528,0.35479,1.01567,0.99695,0.99689,0.9949,0.732,0.87199,0.32744,1.00937,0.000780591,0.000780591,0.000780591
57,1588.39,0.84689,0.34721,1.01014,0.99663,0.99789,0.99493,0.72998,0.87418,0.32437,1.00659,0.000768802,0.000768802,0.000768802
58,1710.78,0.84442,0.34938,1.01476,0.99708,0.99687,0.99496,0.72508,0.87425,0.32819,1.01928,0.000757013,0.000757013,0.000757013
59,1832.66,0.84373,0.34663,1.01202,0.99631,0.99605,0.99483,0.73785,0.8676,0.3213,1.0087,0.000745223,0.000745223,0.000745223
60,1954.9,0.83996,0.34476,1.00558,0.99639,0.99637,0.99495,0.73508,0.86438,0.32047,1.00572,0.000733434,0.000733434,0.000733434
61,2076.79,0.83474,0.34564,1.00427,0.99688,0.99667,0.99495,0.72861,0.87683,0.32538,1.0038,0.000721645,0.000721645,0.000721645
62,2198.82,0.83698,0.34353,1.00647,0.99572,0.99597,0.99486,0.73824,0.86677,0.32075,1.00671,0.000709856,0.000709856,0.000709856
63,2320.99,0.83553,0.34347,1.00473,0.99705,0.99701,0.99487,0.73586,0.85799,0.32217,1.0166,0.000698066,0.000698066,0.000698066
64,2445.66,0.83032,0.34097,1.00384,0.99707,0.99736,0.99495,0.73863,0.8689,0.32556,1.00067,0.000686277,0.000686277,0.000686277
65,2566.45,0.84148,0.3439,1.00516,0.99558,0.99637,0.99481,0.73105,0.86863,0.32523,1.0315,0.000674488,0.000674488,0.000674488
66,2687.02,0.83683,0.34025,1.00505,0.99579,0.99654,0.99488,0.74255,0.86487,0.31996,1.01121,0.000662699,0.000662699,0.000662699
67,2807.88,0.8406,0.34234,1.01361,0.99728,0.99646,0.9949,0.73671,0.86543,0.32014,1.01684,0.000650909,0.000650909,0.000650909
68,2928.89,0.83309,0.33625,1.00759,0.99678,0.99758,0.99489,0.73449,0.86399,0.31545,1.01166,0.00063912,0.00063912,0.00063912
69,3049.61,0.84187,0.34006,1.00524,0.99607,0.99622,0.99486,0.73518,0.86536,0.31578,0.99397,0.000627331,0.000627331,0.000627331
70,3170.48,0.83076,0.33631,0.99826,0.9959,0.99719,0.99485,0.7377,0.85633,0.31545,1.00707,0.000615542,0.000615542,0.000615542
71,3294.81,0.822,0.33273,1.0009,0.99707,0.99678,0.99479,0.72916,0.8675,0.31305,1.0036,0.000603752,0.000603752,0.000603752
72,3415.96,0.82411,0.33584,1.00486,0.99483,0.99718,0.99495,0.74631,0.84932,0.31444,1.00368,0.000591963,0.000591963,0.000591963
73,3537.23,0.8288,0.33394,1.01111,0.99666,0.99744,0.99494,0.74333,0.85847,0.31228,1.0085,0.000580174,0.000580174,0.000580174
74,3657.87,0.82209,0.33175,0.9965,0.99562,0.99829,0.99483,0.73749,0.85987,0.31129,0.98975,0.000568385,0.000568385,0.000568385
75,3778.69,0.81474,0.3328,0.99319,0.99687,0.99701,0.99486,0.74455,0.84917,0.31086,1.01179,0.000556595,0.000556595,0.000556595
76,3899.62,0.82232,0.33182,1.00449,0.99558,0.99715,0.99476,0.74294,0.85726,0.31617,1.01787,0.000544806,0.000544806,0.000544806
